City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
49,Mackenzie,CA,68.22,clear sky,55.2999,-123.1698,Hilton Shop
56,Gambo,CF,69.82,overcast clouds,4.6482,22.2633,
80,Yumen,CN,69.12,clear sky,40.2833,97.2,
101,Lanzhou,CN,69.87,scattered clouds,36.0564,103.7922,Lanzhou Amdo Xiangbala Hotel
103,Shimoda,JP,68.36,few clouds,34.6667,138.95,Shimoda Tokyu Hotel
106,Mangai,CD,69.75,overcast clouds,-4.05,19.5333,
110,Agnibilekrou,CI,68.31,overcast clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
131,Pangoa,PE,69.08,overcast clouds,-12.1167,-73.0,
150,Dunkwa,GH,69.93,overcast clouds,5.9656,-1.78,Tim Freeman Gold City Hotel
162,Sao Joao Da Barra,BR,69.96,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
241,Saint-Francois,FR,69.24,clear sky,46.4154,3.9054,Manoir Du Bonheur
244,Faya,SA,69.91,clear sky,18.3851,42.4509,املاك خالد الشعشوع
264,Namibe,AO,68.67,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
305,Jiuquan,CN,69.06,clear sky,39.7432,98.5174,Jiuquan Hotel
308,Vila Velha,BR,69.75,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
347,Gela,IT,68.58,clear sky,37.0803,14.2307,B&B Santiago
439,Koppa,IN,69.6,overcast clouds,13.5304,75.3633,Muudana Mane Home Stay
469,Karlovac,HR,68.47,light rain,45.4872,15.5478,Hotel Europe
496,Puerto Quijarro,BO,68.2,few clouds,-17.7833,-57.7667,Hotel palance
524,Shache,CN,69.71,overcast clouds,38.4167,77.2406,Delong Hotel
542,Alice Springs,AU,69.22,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
555,Crnomelj,SI,68.0,moderate rain,45.5711,15.1889,Gostilna Müller
558,Caravelas,BR,69.26,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
580,Corinth,GR,69.42,clear sky,37.9407,22.9573,Ephira Hotel
664,Yining,CN,69.12,overcast clouds,29.0361,114.5636,Xiushui Hotel
674,Weatherford,US,68.95,scattered clouds,32.7593,-97.7972,Woodland Suites
681,Emerald,AU,68.34,overcast clouds,-23.5333,148.1667,The Irish Village
689,Matay,EG,68.61,clear sky,28.419,30.7792,Nag Aespen
702,Nador,MA,68.25,clear sky,35.174,-2.9287,Hôtel La Giralda
709,Lisala,CD,69.13,light rain,2.15,21.5167,Guest house Eden
712,Pacific Grove,US,69.87,clear sky,36.6177,-121.9166,Lovers Point Inn
724,Moranbah,AU,69.6,scattered clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
728,La Union,PE,69.19,clear sky,-5.4,-80.75,Los Portales
